top - 06:54:54 up  4:36,  4 users,  load average: 3.03, 3.07, 2.95
Tasks:  66 total,   2 running,  64 sleeping,   0 stopped,   0 zombie
%Cpu(s): 30.7 us,  3.7 sy,  0.2 ni, 47.4 id, 17.9 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem:    445396 total,    55792 used,   389604 free,     4944 buffers
KiB Swap:   102396 total,     9612 used,    92784 free.    16292 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 3894 root      20   0    7028   4204   3756 R 60.6  0.9   0:00.17 ssh
 3893 root      20   0    4964   2188   1920 R 14.0  0.5   0:00.08 top
    1 root      20   0    5312   2932   2304 S  0.0  0.7   0:07.00 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:05.73 ksoftirqd/0
    4 root      20   0       0      0      0 S  0.0  0.0   0:00.57 kworker/0:0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
    7 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
    8 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kdevtmpfs
    9 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   10 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 perf
   11 root      20   0       0      0      0 S  0.0  0.0   0:00.01 khungtaskd
   12 root       0 -20       0      0      0 S  0.0  0.0   0:00.02 writeback
   13 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   14 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   15 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   17 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rpciod
   18 root      20   0       0      0      0 D  0.0  0.0   0:00.00 rtdm_fd
   19 root      20   0       0      0      0 S  0.0  0.0   0:17.56 kswapd0
